STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,PGTM,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT02,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT08,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141112,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,272, , ,W,2400,61, , ,W,2400,8, , ,W,9999,340, , ,W,9999,330, , ,W,9999,36, , ,W,9999,45, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141113,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,194, , ,W,2400,72, , ,W,2400,34, , ,W,9999,340, , ,W,9999,-9999, , , ,9999,67, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141114,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,144, , ,W,2400,17, , ,W,2400,36, , ,W,9999,340, , ,W,9999,330, , ,W,9999,63, , ,W,9999,85, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141115,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,183, , ,W,2400,0, , ,W,2400,16, , ,W,9999,100, , ,W,9999,80, , ,W,9999,54, , ,W,9999,67, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141116,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,244, , ,W,2400,61, , ,W,2400,23, , ,W,9999,190, , ,W,9999,190, , ,W,9999,76, , ,W,9999,89, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141117,56, , ,W,2400,0, , ,W,9999,0, , ,W,9999,228, , ,W,2400,72, , ,W,2400,50, , ,W,9999,320, , ,W,9999,320, , ,W,9999,98, , ,W,9999,125, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,1, , ,W,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141118,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,106, , ,W,2400,-10, , ,W,2400,50, , ,W,9999,350, , ,W,9999,350, , ,W,9999,94, , ,W,9999,121, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141119,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,128, , ,W,2400,-55, , ,W,2400,16, , ,W,9999,20, , ,W,9999,360, , ,W,9999,54, , ,W,9999,72, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141120,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,194, , ,W,2400,-49, , ,W,2400,5, , ,W,9999,350, , ,W,9999,330, , ,W,9999,40, , ,W,9999,54, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141121,0, , ,W,2400,0, , ,W,9999,0, , ,W,9999,222, , ,W,2400,6, , ,W,2400,16, , ,W,9999,100, , ,W,9999,100, , ,W,9999,76, , ,W,9999,89, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,16.8,30.39306,-84.35333,20141122,455, , ,W,2400,0, , ,W,9999,0, , ,W,9999,183, , ,W,2400,61, , ,W,2400,34, , ,W,9999,70, , ,W,9999,70, , ,W,9999,72, , ,W,9999,98, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
